@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute 3 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.0,1 1.0,2 0.4234495146037867,3 15,4 +1}
{0 14.0,1 0.25387913423096475,2 0.1015615377584917,3 7,4 -1}
{0 12.0,1 0.10016708449412667,2 0.046333432630846036,3 9,4 -1}
{0 10.0,1 0.09173411178551379,2 0.16453672529221414,3 11,4 -1}
{0 14.0,1 0.25387913423096475,2 0.17609517534152228,3 12,4 -1}
{0 0.0,1 1.0000000000000002,2 0.17214532471704128,3 9,4 +1}
{0 13.0,1 0.13497638119975428,2 0.02582445546619279,3 7,4 -1}
{0 13.0,1 0.12361284651454937,2 0.10982329517062171,3 11,4 -1}
{0 12.0,1 0.10016708449412667,2 0.4378675138653186,3 15,4 -1}
{0 13.0,1 0.13497638119975428,2 0.17797609873674827,3 8,4 -1}
{0 0.0,1 1.0000000000000002,2 0.07268875754271968,3 13,4 +1}
{0 9.0,1 0.10567049305145204,2 0.20994117418446698,3 10,4 -1}
{0 10.0,1 0.09173411178551379,2 0.34945776210600143,3 14,4 -1}
{0 13.0,1 0.12361284651454937,2 0.13421984345401783,3 10,4 -1}
{0 9.0,1 0.10567049305145204,2 0.043541822030146844,3 10,4 -1}
{0 0.0,1 1.0,2 0.19932145082650912,3 11,4 +1}
