@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.19405589808997284,1 7,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.05158087057737686,1 13,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.28167934805625006,1 3,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.09705387192756534,1 6,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.04360855834596836,1 5,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.11131852050927805,1 28,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.0,1 0,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.18679087148921097,1 5,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.12240688537356466,1 22,2 -1}
{0 0.025758784337707466,1 1,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.02352750400545973,1 3,2 -1}
{0 0.250220163067745,1 11,2 +1}
{0 0.19044535737483456,1 10,2 -1}
{0 0.3844537689435693,1 66,2 +1}
{0 0.19265050509165504,1 32,2 -1}
{0 0.0,1 0,2 +1}
{0 0.15401896060447778,1 1,2 -1}
{0 0.26364887508105,1 42,2 +1}
{0 0.22968982627649412,1 34,2 -1}
{0 0.0,1 0,2 +1}
{0 0.03616689748253366,1 1,2 -1}
{0 0.27398853892328073,1 71,2 +1}
{0 0.2468014971915097,1 9,2 -1}
{0 0.12890873930138536,1 24,2 +1}
{0 0.1477133020184445,1 3,2 -1}
{0 0.2591307395389587,1 23,2 +1}
{0 0.19874007424196544,1 27,2 -1}
{0 0.2862674795375733,1 71,2 +1}
{0 0.19135594763633634,1 55,2 -1}
{0 0.25146082250824975,1 38,2 +1}
{0 0.17622004625211174,1 9,2 -1}
{0 0.2579238037983036,1 20,2 +1}
{0 0.2861723979272926,1 23,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2610609133634027,1 80,2 +1}
{0 0.18527202703831389,1 32,2 -1}
{0 0.27212400309857027,1 34,2 +1}
{0 0.24373404589036468,1 31,2 -1}
{0 0.4560737814793552,1 14,2 +1}
{0 0.1260295943285407,1 3,2 -1}
{0 0.20074106269860925,1 70,2 +1}
{0 0.15103075017366752,1 28,2 -1}
{0 0.23296249913806844,1 13,2 +1}
{0 0.24487389935475337,1 16,2 -1}
{0 0.2544177583191577,1 115,2 +1}
{0 0.23627331305865315,1 92,2 -1}
{0 0.2905649556005914,1 26,2 +1}
{0 0.12947608991604692,1 15,2 -1}
{0 0.21074993392022648,1 29,2 +1}
{0 0.06883264542857039,1 3,2 -1}
{0 0.3661253383758703,1 32,2 +1}
{0 0.32234066483255996,1 25,2 -1}
{0 0.06933752452815363,1 2,2 +1}
{0 0.020815272356090667,1 1,2 -1}
{0 0.26901772598907703,1 24,2 +1}
{0 0.221726109550209,1 5,2 -1}
{0 0.0,1 0,2 +1}
{0 0.003077505855104717,1 1,2 -1}
{0 0.09083768323888668,1 3,2 +1}
{0 0.0844914251380437,1 7,2 -1}
{0 0.17620193273403853,1 40,2 +1}
{0 0.1381521917362527,1 9,2 -1}
{0 0.09729732630620916,1 1,2 +1}
{0 0.030298393621754134,1 1,2 -1}
{0 0.17571198121690243,1 39,2 +1}
{0 0.20029983132462378,1 44,2 -1}
{0 0.17918710044277342,1 19,2 +1}
{0 0.12809450359068075,1 9,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.14480712769588663,1 14,2 +1}
{0 0.1212546038840545,1 25,2 -1}
{0 0.03411945625947578,1 8,2 +1}
{0 0.07750323470663696,1 3,2 -1}
{0 0.015499685165842568,1 1,2 +1}
{0 0.02058606995288888,1 4,2 -1}
{0 0.2512699419684951,1 6,2 +1}
{0 0.2331538086687927,1 77,2 -1}
{0 0.26247630985700043,1 44,2 +1}
{0 0.1448965469686619,1 12,2 -1}
{0 0.25322445051574977,1 13,2 +1}
{0 0.14464123452850192,1 27,2 -1}
{0 0.28980095173388337,1 35,2 +1}
{0 0.2760096995107202,1 14,2 -1}
{0 0.15241289730010193,1 4,2 +1}
{0 0.21380899352993948,1 2,2 -1}
{0 0.11561146751289911,1 8,2 +1}
{0 0.08903995514138348,1 15,2 -1}
{0 0.08010676181089256,1 3,2 -1}
{0 0.41771493363818885,1 32,2 +1}
{0 0.012915326995195566,1 2,2 -1}
{0 0.20142618714909527,1 13,2 +1}
{0 0.03675452309466475,1 3,2 -1}
{0 0.002123680799282207,1 1,2 -1}
{0 0.15331034998544327,1 23,2 +1}
{0 0.09671474291233285,1 4,2 -1}
{0 0.19613673449070534,1 5,2 +1}
{0 0.0,1 0,2 -1}
{0 0.196505744781154,1 72,2 +1}
{0 0.17966329857156346,1 25,2 -1}
{0 0.21945093393781417,1 22,2 +1}
{0 0.12535628229350038,1 24,2 -1}
{0 0.06930520620576447,1 5,2 +1}
{0 0.05912041369981311,1 6,2 -1}
{0 0.0989565616659599,1 3,2 +1}
{0 0.1083812430219107,1 8,2 -1}
{0 0.2303932535288566,1 32,2 +1}
{0 0.13626570702092897,1 29,2 -1}
{0 0.06171954827142899,1 14,2 +1}
{0 0.05381180683992875,1 13,2 -1}
{0 0.19902283334918383,1 9,2 +1}
{0 0.16357216402190616,1 4,2 -1}
{0 0.21416136922934387,1 51,2 +1}
{0 0.17907293673159191,1 52,2 -1}
{0 0.10072787050317251,1 1,2 +1}
{0 0.08605403904524841,1 1,2 -1}
{0 0.0,1 0,2 +1}
{0 0.037860522229083524,1 2,2 -1}
{0 0.14402095496370335,1 43,2 +1}
{0 0.13046958274549023,1 32,2 -1}
{0 0.12811395556557303,1 15,2 +1}
{0 0.10873665629332402,1 11,2 -1}
{0 0.216661812307366,1 4,2 +1}
{0 0.15057810039045036,1 4,2 -1}
{0 0.12803141422757522,1 4,2 +1}
{0 0.08014237919695726,1 4,2 -1}
{0 0.015767396124594983,1 3,2 +1}
{0 0.02815462531857365,1 3,2 -1}
{0 0.2413443787484609,1 15,2 +1}
{0 0.2668558925125507,1 24,2 -1}
{0 0.13363062095621217,1 2,2 +1}
{0 0.35355739920329093,1 4,2 -1}
{0 0.2507242875848462,1 22,2 +1}
{0 0.17318646675137137,1 21,2 -1}
{0 0.23108538429920722,1 32,2 +1}
{0 0.17036957510864792,1 27,2 -1}
{0 0.11972912094634425,1 16,2 +1}
{0 0.18685047782451947,1 19,2 -1}
{0 0.20887978116297765,1 21,2 +1}
{0 0.0449596948399377,1 12,2 -1}
{0 0.1941201824053597,1 17,2 +1}
{0 0.24724862875725856,1 23,2 -1}
{0 0.056709695654772234,1 7,2 +1}
{0 0.14624175211347312,1 11,2 -1}
{0 0.32926179497901653,1 80,2 +1}
{0 0.1014194057101971,1 23,2 -1}
{0 0.20655818871259934,1 29,2 +1}
{0 0.2031596121581731,1 21,2 -1}
{0 0.11368166544570094,1 12,2 +1}
{0 0.11288138573367999,1 3,2 -1}
{0 0.2269769297812357,1 28,2 +1}
{0 0.0401321544990639,1 11,2 -1}
{0 0.08434630491811484,1 2,2 -1}
{0 0.0961262004168002,1 2,2 +1}
{0 0.0,1 0,2 -1}
{0 0.2456235860635626,1 12,2 +1}
{0 0.15531098123889672,1 3,2 -1}
{0 0.29920282735666237,1 27,2 +1}
{0 0.3096031243960198,1 51,2 -1}
{0 0.2334863710479926,1 47,2 +1}
{0 0.1973368007341208,1 64,2 -1}
{0 0.21418864874494362,1 6,2 +1}
{0 0.1727837273306053,1 17,2 -1}
{0 0.21402220972342473,1 9,2 +1}
{0 0.18290920600128935,1 18,2 -1}
{0 0.2794807625370536,1 16,2 +1}
{0 0.19144268966180358,1 19,2 -1}
{0 0.2294694189184106,1 34,2 +1}
{0 0.1440284056176162,1 36,2 -1}
{0 0.055483736943152166,1 2,2 -1}
{0 0.3361954402801885,1 31,2 +1}
{0 0.17986939278903996,1 24,2 -1}
{0 0.12184469202896522,1 23,2 +1}
{0 0.08912024165877493,1 11,2 -1}
{0 0.18911594747281057,1 88,2 +1}
{0 0.1493527545685581,1 3,2 -1}
{0 0.23186078582515793,1 11,2 +1}
{0 0.10455364010589856,1 7,2 -1}
{0 0.026279416561381833,1 1,2 +1}
{0 0.07518820606756282,1 1,2 -1}
{0 0.214165219773505,1 49,2 +1}
{0 0.12576276559423535,1 21,2 -1}
{0 0.1434490744940285,1 16,2 +1}
{0 0.0994842672452099,1 9,2 -1}
{0 0.2688930073010483,1 98,2 +1}
{0 0.2257169385539485,1 66,2 -1}
{0 0.3223686808830743,1 84,2 +1}
{0 0.20692994794901606,1 22,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2562225038509684,1 80,2 +1}
{0 0.138104618711782,1 8,2 -1}
{0 0.17387562050751776,1 15,2 +1}
{0 0.125623975621043,1 19,2 -1}
{0 0.12089196843200625,1 3,2 +1}
{0 0.20056953129059574,1 4,2 -1}
{0 0.2711889489978937,1 49,2 +1}
{0 0.12120581334266063,1 8,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.012162606385262996,1 1,2 +1}
{0 0.0,1 0,2 -1}
{0 0.11234238708801338,1 3,2 -1}
{0 0.22328904264708752,1 15,2 +1}
{0 0.16487996791047535,1 8,2 -1}
{0 0.16265798109624596,1 3,2 +1}
{0 0.1402691485682968,1 4,2 -1}
{0 0.2337297654928877,1 48,2 +1}
{0 0.18476627335744944,1 19,2 -1}
{0 0.03323745232194751,1 2,2 +1}
{0 0.0,1 0,2 -1}
{0 0.15269799790086067,1 1,2 +1}
{0 0.07106690545187015,1 1,2 -1}
{0 0.13926548723722781,1 19,2 +1}
{0 0.0813389542836027,1 4,2 -1}
{0 0.15534712747612348,1 3,2 +1}
{0 0.19561932335813415,1 6,2 -1}
{0 0.27182002187324245,1 5,2 +1}
{0 0.11958634040240801,1 4,2 -1}
{0 0.20727029611723097,1 6,2 +1}
{0 0.06109366460913441,1 6,2 -1}
{0 0.05950954506936943,1 12,2 +1}
{0 0.042315525464409635,1 8,2 -1}
{0 0.3652227569491429,1 65,2 +1}
{0 0.058867143761208995,1 5,2 -1}
{0 0.22033987980922828,1 38,2 +1}
{0 0.12039736995149715,1 13,2 -1}
{0 0.150283349327479,1 7,2 +1}
{0 0.20260145521098963,1 18,2 -1}
{0 0.22400803546227221,1 11,2 +1}
{0 0.18647616339797307,1 10,2 -1}
{0 0.05752647832596544,1 5,2 +1}
{0 0.07075019535794314,1 5,2 -1}
{0 0.24331976845924977,1 83,2 +1}
{0 0.24316197633226258,1 31,2 -1}
{0 0.026144527986318486,1 4,2 +1}
{0 0.00905089764898488,1 2,2 -1}
{0 0.2522617314440055,1 4,2 +1}
{0 0.0,1 0,2 -1}
{0 0.12295812515422097,1 3,2 +1}
{0 0.03128056235449272,1 3,2 -1}
{0 0.17837731143342866,1 39,2 +1}
{0 0.25051888432579866,1 25,2 -1}
{0 0.20007385800553018,1 26,2 +1}
{0 0.20534825474114135,1 19,2 -1}
{0 0.3181253200794644,1 27,2 +1}
{0 0.23627638478216584,1 35,2 -1}
{0 0.22815590752544035,1 32,2 +1}
{0 0.17570639293921103,1 11,2 -1}
{0 0.17230575571481055,1 34,2 +1}
{0 0.2627621874243778,1 27,2 -1}
{0 0.2650668974466966,1 53,2 +1}
{0 0.14082784662182474,1 32,2 -1}
{0 0.25109142185161326,1 21,2 +1}
{0 0.11815402076175933,1 20,2 -1}
{0 0.03232540919176179,1 1,2 +1}
{0 0.06450114091433354,1 10,2 -1}
{0 0.11993772586158312,1 21,2 +1}
{0 0.1433311718049638,1 14,2 -1}
{0 0.2812381293541242,1 44,2 +1}
{0 0.11621507296113333,1 31,2 -1}
{0 0.33467124503015955,1 61,2 +1}
{0 0.35865930746241437,1 49,2 -1}
{0 0.2428790154932987,1 31,2 +1}
{0 0.33495034066718066,1 27,2 -1}
{0 0.25796574409178746,1 52,2 +1}
{0 0.15362969641786287,1 3,2 -1}
{0 0.06573543714639979,1 4,2 +1}
{0 0.06550745003075582,1 9,2 -1}
{0 0.23961239605623721,1 36,2 +1}
{0 0.215607103425931,1 19,2 -1}
{0 0.24440064824066962,1 129,2 +1}
{0 0.2628880087238794,1 45,2 -1}
{0 0.34103633779988873,1 10,2 +1}
{0 0.2817138687491229,1 25,2 -1}
{0 0.006721559496679888,1 1,2 +1}
{0 0.2590829519133516,1 20,2 -1}
{0 0.07582545775314832,1 3,2 -1}
{0 0.019771101534111178,1 4,2 +1}
{0 0.08432209113727814,1 4,2 -1}
{0 0.033570406630727107,1 1,2 +1}
{0 0.09250786517052198,1 7,2 -1}
{0 0.09175761518719276,1 10,2 +1}
{0 0.05620114916428598,1 12,2 -1}
{0 0.26699794255319337,1 22,2 +1}
{0 0.18936460703185096,1 11,2 -1}
{0 0.03648468894693283,1 4,2 -1}
{0 0.2978609505689413,1 30,2 +1}
{0 0.17831346902711923,1 30,2 -1}
{0 0.25965618928482176,1 58,2 +1}
{0 0.252318493979219,1 40,2 -1}
{0 0.3149463710174956,1 67,2 +1}
{0 0.2295467628848272,1 55,2 -1}
{0 0.2862251904988481,1 15,2 +1}
{0 0.09186143191866104,1 15,2 -1}
{0 0.028662944147308796,1 3,2 +1}
{0 0.07979331946716718,1 6,2 -1}
{0 0.20013263140316176,1 13,2 +1}
{0 0.37199693531736044,1 12,2 -1}
{0 0.05059644256269406,1 1,2 +1}
{0 0.025119905919836358,1 6,2 -1}
{0 0.20122714974516678,1 32,2 +1}
{0 0.15001771270006764,1 10,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0010818000967750714,1 1,2 -1}
{0 0.015211385893403189,1 1,2 -1}
{0 0.08044365607192805,1 24,2 +1}
{0 0.08608683964994877,1 16,2 -1}
{0 0.272366429291613,1 114,2 +1}
{0 0.22533463556890665,1 81,2 -1}
{0 0.2062957351480814,1 21,2 +1}
{0 0.11625966291046,1 5,2 -1}
{0 0.0,1 0,2 +1}
{0 0.04746444525345672,1 2,2 -1}
{0 0.30207638299473966,1 10,2 +1}
{0 0.18293732081895234,1 11,2 -1}
{0 0.10595928540545754,1 9,2 +1}
{0 0.07622180824806601,1 12,2 -1}
{0 0.3430923176986527,1 46,2 +1}
{0 0.224638908168908,1 37,2 -1}
{0 0.3873977118268668,1 56,2 +1}
{0 0.15025800580204757,1 46,2 -1}
{0 0.1786757493104596,1 51,2 +1}
{0 0.16107982421761072,1 33,2 -1}
{0 0.13972384788966816,1 10,2 +1}
{0 0.12702767772338908,1 11,2 -1}
{0 0.18938320985608104,1 12,2 +1}
{0 0.13828996894083706,1 10,2 -1}
{0 0.1287957621153029,1 11,2 +1}
{0 0.11480522402419636,1 15,2 -1}
{0 0.18672359119419568,1 25,2 +1}
{0 0.21767954975050446,1 41,2 -1}
{0 0.22914694502243846,1 21,2 +1}
{0 0.13283586680101805,1 21,2 -1}
{0 0.03096933394840872,1 2,2 -1}
{0 0.27467414961992875,1 44,2 +1}
{0 0.05837680781178805,1 8,2 -1}
{0 0.24731575742364,1 20,2 +1}
{0 0.20138165421258772,1 12,2 -1}
{0 0.16338092989983735,1 4,2 +1}
{0 0.051250238011640664,1 2,2 -1}
{0 0.02581335646211108,1 7,2 +1}
{0 0.042683545859305526,1 8,2 -1}
{0 0.2634611470947488,1 57,2 +1}
{0 0.14056971142303462,1 14,2 -1}
{0 0.2863049616895993,1 7,2 +1}
{0 0.0875175052517506,1 3,2 -1}
{0 0.022011272658140596,1 1,2 +1}
{0 0.030970020586843568,1 1,2 -1}
{0 0.2383656473113981,1 2,2 +1}
{0 0.0,1 0,2 -1}
{0 0.2031896769659681,1 17,2 +1}
{0 0.09764006326340043,1 16,2 -1}
{0 0.25018894147680104,1 33,2 +1}
{0 0.2658540204593695,1 28,2 -1}
{0 0.21948138174147008,1 25,2 +1}
{0 0.0633230536205443,1 6,2 -1}
{0 0.20277605491501102,1 13,2 +1}
{0 0.14065025597325662,1 10,2 -1}
{0 0.004406486087904692,1 1,2 +1}
{0 0.007609770916084412,1 1,2 -1}
{0 0.040824829046386304,1 1,2 +1}
{0 0.08576308303843828,1 9,2 -1}
{0 0.23523662216472424,1 5,2 +1}
{0 0.3010219613740794,1 14,2 -1}
{0 0.08484825297180307,1 12,2 -1}
{0 0.04061297599176226,1 3,2 +1}
{0 0.0,1 0,2 -1}
{0 0.17625587959712846,1 23,2 +1}
{0 0.14315172635346363,1 9,2 -1}
{0 0.296736955970866,1 65,2 +1}
{0 0.25672919586348086,1 10,2 -1}
{0 0.2769208137565213,1 35,2 +1}
{0 0.17736355182061894,1 34,2 -1}
{0 0.021729045066737177,1 10,2 +1}
{0 0.08459804369285916,1 6,2 -1}
{0 0.07507038610870512,1 5,2 +1}
{0 0.128564869306645,1 3,2 -1}
{0 0.1580705715258766,1 7,2 +1}
{0 0.04850379838620126,1 4,2 -1}
{0 0.041522739926869986,1 1,2 +1}
{0 0.04552660148960659,1 1,2 -1}
{0 0.1594947656082606,1 16,2 +1}
{0 0.07333587976225692,1 3,2 -1}
{0 0.1142497001757369,1 12,2 +1}
{0 0.2690650965159722,1 14,2 -1}
{0 0.018260421655339514,1 3,2 +1}
{0 0.0,1 0,2 -1}
{0 0.1708022826928716,1 2,2 +1}
{0 0.09901475429766741,1 2,2 -1}
{0 0.14192531682563939,1 15,2 -1}
{0 0.13845283361784336,1 32,2 +1}
{0 0.12857560317176966,1 17,2 -1}
{0 0.1861723860064547,1 44,2 +1}
{0 0.060553536927716034,1 2,2 -1}
{0 0.13657101252368956,1 20,2 -1}
{0 0.07781350031786696,1 7,2 +1}
{0 0.0822560402904857,1 13,2 -1}
{0 0.24244967468393183,1 9,2 +1}
{0 0.10359969302537189,1 10,2 -1}
{0 0.16542323937244585,1 8,2 +1}
{0 0.17140208767489465,1 16,2 -1}
{0 0.042409446483998546,1 1,2 +1}
{0 0.0,1 0,2 -1}
{0 0.13487311492217502,1 8,2 +1}
{0 0.16427895551915042,1 22,2 -1}
{0 0.21236186327966178,1 14,2 +1}
{0 0.028953976682179427,1 2,2 -1}
{0 0.21343966520117783,1 53,2 +1}
{0 0.17665619632853305,1 61,2 -1}
{0 0.1882411268398568,1 5,2 +1}
{0 0.17398582227739298,1 5,2 -1}
{0 0.1838041885450377,1 19,2 +1}
{0 0.09802509763790428,1 7,2 -1}
{0 0.31268183383577186,1 15,2 +1}
{0 0.1009079134068916,1 9,2 -1}
{0 0.21195688942808333,1 56,2 +1}
{0 0.17663445986404963,1 34,2 -1}
{0 0.29111002446637557,1 66,2 +1}
{0 0.032531056256793596,1 4,2 -1}
{0 0.1394603485832684,1 10,2 +1}
{0 0.33993100382372343,1 11,2 -1}
{0 0.033261171328173376,1 4,2 +1}
{0 0.05487103155418552,1 5,2 -1}
{0 0.19744908584949508,1 32,2 +1}
{0 0.18395901693124098,1 32,2 -1}
{0 0.3608544904398391,1 15,2 +1}
{0 0.16857908713146824,1 17,2 -1}
{0 0.3612401183931125,1 17,2 +1}
{0 0.020312159070015455,1 1,2 -1}
{0 0.12485433134301348,1 24,2 +1}
{0 0.08640517808392285,1 14,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.0,1 0,2 +1}
{0 0.022041177421936044,1 2,2 -1}
{0 0.1799499691378841,1 37,2 +1}
{0 0.2905060442679649,1 24,2 -1}
{0 0.19427780183901183,1 27,2 +1}
{0 0.2917056857549685,1 5,2 -1}
{0 0.2421222052731204,1 10,2 +1}
{0 0.16199062891235927,1 7,2 -1}
{0 0.2330507898495426,1 40,2 +1}
{0 0.19429060969190773,1 20,2 -1}
{0 0.0,1 0,2 +1}
{0 0.008879160028572114,1 1,2 -1}
{0 0.2707813056068854,1 31,2 +1}
{0 0.2014040703363111,1 39,2 -1}
{0 0.03678061789603124,1 1,2 +1}
{0 0.12329924047901797,1 5,2 -1}
{0 0.07261438571238492,1 6,2 +1}
{0 0.04583323983680229,1 3,2 -1}
