@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.21931633428140548,1 6,2 -1}
{0 0.2067117818331932,1 11,2 -1}
{0 0.17286770562363296,1 10,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.032504712528025684,1 17,2 -1}
{0 0.09587888193268532,1 15,2 -1}
{0 0.04280622711005659,1 17,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.17787179285856639,1 3,2 -1}
{0 0.1546689982235192,1 2,2 -1}
{0 0.16116459280507606,1 2,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.12666421861651822,1 8,2 -1}
{0 0.1256297269074015,1 4,2 -1}
{0 0.11770996289191181,1 5,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.06234419458712203,1 7,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0511761939486635,1 5,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.09174701093908971,1 39,2 -1}
{0 0.0637543205039288,1 15,2 -1}
{0 0.12741610397603237,1 25,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.029530814795008062,1 2,2 -1}
{0 0.02474495460570754,1 2,2 -1}
{0 0.04167797407458376,1 2,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.06537204504606134,1 2,2 -1}
{0 0.21625258172027897,1 6,2 -1}
{0 0.17424342071026455,1 5,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.07180329787057646,1 4,2 -1}
{0 0.19357462732649464,1 48,2 -1}
{0 0.18195800885560875,1 52,2 -1}
{0 0.14084726554457716,1 4,2 -1}
{0 0.14290456900056203,1 3,2 -1}
{0 0.2896243006533501,1 2,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.0,1 0,2 -1}
{0 0.03402390567859836,1 2,2 -1}
{0 0.06684675033424796,1 7,2 -1}
{0 0.250220163067745,1 11,2 +1}
{0 0.045590388662637836,1 3,2 -1}
{0 0.03394221166510653,1 1,2 -1}
{0 0.1998491601152479,1 10,2 -1}
{0 0.3844537689435693,1 66,2 +1}
{0 0.07049452171152847,1 4,2 -1}
{0 0.2367931810075627,1 64,2 -1}
{0 0.11783221422668165,1 10,2 -1}
{0 0.0,1 0,2 +1}
{0 0.03479562020297592,1 1,2 -1}
