@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.2563681791323927,1 15,2 -1}
{0 0.12098060086374436,1 7,2 -1}
{0 0.1093987436234209,1 2,2 -1}
{0 0.14553200052573556,1 8,2 -1}
{0 0.1051362060615824,1 7,2 -1}
{0 0.19469522042530069,1 10,2 -1}
{0 0.07181895714065413,1 1,2 -1}
{0 0.3291016294714303,1 13,2 -1}
{0 0.06596992457003135,1 2,2 -1}
{0 0.19779566672386018,1 9,2 -1}
{0 0.1487791221022014,1 6,2 -1}
{0 0.32884399406117615,1 15,2 -1}
{0 0.21370516047560612,1 9,2 -1}
{0 0.2447135473967525,1 14,2 -1}
{0 0.4380975056973136,1 17,2 -1}
{0 0.2728884114549076,1 2,2 -1}
{0 0.1047249607026204,1 5,2 -1}
{0 0.21688538881201402,1 12,2 -1}
{0 0.05326236412913074,1 1,2 -1}
{0 0.19790247041626605,1 13,2 -1}
{0 0.2415049773179321,1 9,2 -1}
{0 0.1835680425478464,1 9,2 -1}
{0 0.2572584319797068,1 13,2 -1}
{0 0.1585164434031908,1 11,2 -1}
{0 0.19301959535572652,1 10,2 -1}
{0 0.1892941626644104,1 11,2 -1}
{0 0.1622977390020606,1 11,2 -1}
{0 0.09349147313614321,1 7,2 -1}
{0 0.13629153256028603,1 12,2 -1}
{0 0.17181936181417554,1 11,2 -1}
{0 0.24533981255477838,1 16,2 -1}
{0 0.07293249574894727,1 2,2 -1}
{0 0.2938011761406666,1 12,2 -1}
{0 0.2259750511933677,1 10,2 -1}
{0 0.2067117818331932,1 11,2 -1}
{0 0.21931633428140548,1 6,2 -1}
{0 0.17286770562363296,1 10,2 -1}
{0 0.03898405877927252,1 1,2 -1}
{0 0.08773861631029596,1 5,2 -1}
{0 0.16313980924539795,1 11,2 -1}
{0 0.117593124730934,1 7,2 -1}
{0 0.19685391826232002,1 13,2 -1}
{0 0.18769389132221795,1 13,2 -1}
{0 0.1462310271838266,1 5,2 -1}
{0 0.20094316330702722,1 8,2 -1}
{0 0.2757500930190429,1 8,2 -1}
{0 0.13152647683156704,1 6,2 -1}
{0 0.1215541595815788,1 3,2 -1}
{0 0.18501812766673054,1 10,2 -1}
{0 0.33674033829829897,1 10,2 -1}
{0 0.34582887198960355,1 11,2 -1}
{0 0.17483186247347152,1 10,2 -1}
{0 0.1319327186053403,1 7,2 -1}
{0 0.308141654797851,1 9,2 -1}
{0 0.13619158634273987,1 8,2 -1}
{0 0.17423221784185797,1 12,2 -1}
{0 0.12431163526554512,1 8,2 -1}
{0 0.2286938740322719,1 11,2 -1}
{0 0.1299714686336685,1 8,2 -1}
{0 0.13236260804236724,1 9,2 -1}
{0 0.18859085906543102,1 9,2 -1}
{0 0.1318903128705713,1 4,2 -1}
{0 0.20522642400076974,1 10,2 -1}
{0 0.12814227323773683,1 10,2 -1}
{0 0.14151769596813119,1 7,2 -1}
{0 0.2532511237737225,1 12,2 -1}
{0 0.25271392356219613,1 9,2 -1}
{0 0.10113917425784187,1 3,2 -1}
{0 0.24438726735367472,1 12,2 -1}
{0 0.17180426343014685,1 11,2 -1}
{0 0.17407756782919045,1 9,2 -1}
{0 0.1683719562154957,1 7,2 -1}
{0 0.11488210704314362,1 9,2 -1}
{0 0.1730539452834012,1 10,2 -1}
{0 0.11695217633781756,1 3,2 -1}
{0 0.13211764176773402,1 4,2 -1}
{0 0.05847608816890878,1 2,2 -1}
{0 0.21899273215973258,1 8,2 -1}
{0 0.1853834461329298,1 10,2 -1}
{0 0.39977060564589906,1 9,2 -1}
{0 0.13770421343494457,1 22,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.029109957008505914,1 14,2 -1}
{0 0.007250693078538385,1 2,2 -1}
{0 0.0411410993826793,1 17,2 -1}
{0 0.028169246584560503,1 14,2 -1}
{0 0.07496432545345155,1 19,2 -1}
