{0 0.24661,1 11}
{0 0.256368,1 15,2 -1}
{0 0.120981,1 7,2 -1}
{0 0.109399,1 2,2 -1}
{0 0.145532,1 8,2 -1}
{0 0.105136,1 7,2 -1}
{0 0.194695,1 10,2 -1}
{0 0.071819,1 1,2 -1}
{0 0.329102,1 13,2 -1}
{0 0.06597,1 2,2 -1}
{0 0.197796,1 9,2 -1}
{0 0.148779,1 6,2 -1}
{0 0.328844,1 15,2 -1}
{0 0.213705,1 9,2 -1}
{0 0.244714,1 14,2 -1}
{0 0.438098,1 17,2 -1}
{0 0.272888,1 2,2 -1}
{0 0.104725,1 5,2 -1}
{0 0.216885,1 12,2 -1}
{0 0.053262,1 1,2 -1}
{0 0.197902,1 13,2 -1}
{0 0.241505,1 9,2 -1}
{0 0.183568,1 9,2 -1}
{0 0.257258,1 13,2 -1}
{0 0.158516,1 11,2 -1}
{0 0.19302,1 10,2 -1}
{0 0.189294,1 11,2 -1}
{0 0.162298,1 11,2 -1}
{0 0.093491,1 7,2 -1}
{0 0.136292,1 12,2 -1}
{0 0.171819,1 11,2 -1}
{0 0.24534,1 16,2 -1}
{0 0.072932,1 2,2 -1}
{0 0.293801,1 12,2 -1}
{0 0.225975,1 10,2 -1}
{0 0.206712,1 11,2 -1}
{0 0.219316,1 6,2 -1}
{0 0.172868,1 10,2 -1}
{0 0.038984,1 1,2 -1}
{0 0.087739,1 5,2 -1}
{0 0.16314,1 11,2 -1}
{0 0.117593,1 7,2 -1}
{0 0.196854,1 13,2 -1}
{0 0.187694,1 13,2 -1}
{0 0.146231,1 5,2 -1}
{0 0.200943,1 8,2 -1}
{0 0.27575,1 8,2 -1}
{0 0.131526,1 6,2 -1}
{0 0.121554,1 3,2 -1}
{0 0.185018,1 10,2 -1}
{0 0.33674,1 10,2 -1}
{0 0.345829,1 11,2 -1}
{0 0.174832,1 10,2 -1}
{0 0.131933,1 7,2 -1}
{0 0.308142,1 9,2 -1}
{0 0.136192,1 8,2 -1}
{0 0.174232,1 12,2 -1}
{0 0.124312,1 8,2 -1}
{0 0.228694,1 11,2 -1}
{0 0.129971,1 8,2 -1}
{0 0.132363,1 9,2 -1}
{0 0.188591,1 9,2 -1}
{0 0.13189,1 4,2 -1}
{0 0.205226,1 10,2 -1}
{0 0.128142,1 10,2 -1}
{0 0.141518,1 7,2 -1}
{0 0.253251,1 12,2 -1}
{0 0.252714,1 9,2 -1}
{0 0.101139,1 3,2 -1}
{0 0.244387,1 12,2 -1}
{0 0.171804,1 11,2 -1}
{0 0.174078,1 9,2 -1}
{0 0.168372,1 7,2 -1}
{0 0.114882,1 9,2 -1}
{0 0.173054,1 10,2 -1}
{0 0.116952,1 3,2 -1}
{0 0.132118,1 4,2 -1}
{0 0.058476,1 2,2 -1}
{0 0.218993,1 8,2 -1}
{0 0.185383,1 10,2 -1}
{0 0.399771,1 9,2 -1}
{0 0.137704,1 22,2 -1}
{0 0.198818,1 32}
{0 0.02911,1 14,2 -1}
{0 0.007251,1 2,2 -1}
{0 0.041141,1 17,2 -1}
{0 0.028169,1 14,2 -1}
{0 0.074964,1 19,2 -1}
{0 0.11186,1 5,2 -1}
{0 0.267685,1 25,2 -1}
{0 0.008745,1 2,2 -1}
{0 0.171925,1 17,2 -1}
{0 0.070289,1 11,2 -1}
{0 0.222443,1 30,2 -1}
{0 0.080655,1 19,2 -1}
{0 0.140049,1 20,2 -1}
{0 0.371139,1 26,2 -1}
{0 0.229956,1 2,2 -1}
{0 0.034011,1 7,2 -1}
{0 0.113476,1 28,2 -1}
{0 0.001765,1 1,2 -1}
{0 0.103242,1 27,2 -1}
{0 0.197793,1 13,2 -1}
{0 0.11901,1 18,2 -1}
{0 0.183453,1 24,2 -1}
{0 0.056158,1 23,2 -1}
{0 0.051776,1 19,2 -1}
{0 0.065937,1 28,2 -1}
{0 0.049298,1 19,2 -1}
{0 0.028291,1 10,2 -1}
{0 0.037369,1 29,2 -1}
{0 0.079517,1 17,2 -1}
{0 0.137559,1 27,2 -1}
{0 0.009668,1 1,2 -1}
{0 0.222606,1 24,2 -1}
{0 0.125018,1 19,2 -1}
{0 0.106222,1 20,2 -1}
{0 0.124502,1 7,2 -1}
{0 0.072717,1 21,2 -1}
{0 0.015503,1 3,2 -1}
{0 0.020837,1 7,2 -1}
{0 0.055106,1 21,2 -1}
{0 0.0473,1 12,2 -1}
{0 0.093419,1 27,2 -1}
{0 0.105758,1 26,2 -1}
{0 0.02423,1 5,2 -1}
{0 0.13247,1 14,2 -1}
{0 0.277589,1 12,2 -1}
{0 0.030281,1 14,2 -1}
{0 0.016113,1 2,2 -1}
{0 0.073773,1 22,2 -1}
{0 0.278415,1 18,2 -1}
{0 0.292665,1 26,2 -1}
{0 0.086048,1 19,2 -1}
{0 0.019901,1 10,2 -1}
{0 0.285328,1 14,2 -1}
{0 0.058027,1 20,2 -1}
{0 0.04585,1 20,2 -1}
{0 0.070848,1 22,2 -1}
{0 0.126342,1 23,2 -1}
{0 0.051523,1 14,2 -1}
{0 0.043258,1 21,2 -1}
{0 0.111589,1 21,2 -1}
{0 0.030198,1 4,2 -1}
{0 0.195799,1 21,2 -1}
{0 0.029323,1 21,2 -1}
{0 0.025692,1 10,2 -1}
{0 0.136368,1 23,2 -1}
{0 0.161261,1 11,2 -1}
{0 0.053626,1 5,2 -1}
{0 0.108766,1 26,2 -1}
{0 0.090383,1 23,2 -1}
{0 0.080429,1 15,2 -1}
{0 0.095879,1 15,2 -1}
{0 0.032505,1 17,2 -1}
{0 0.042806,1 17,2 -1}
{0 0.018086,1 3,2 -1}
{0 0.067357,1 5,2 -1}
{0 0.015503,1 4,2 -1}
{0 0.083085,1 17,2 -1}
{0 0.066227,1 21,2 -1}
{0 0.39247,1 13,2 -1}
{0 0.104258,1 2,2 -1}
{0 0.092094,1 2,2 -1}
{0 0.264447,1 3}
{0 0.083333,1 1,2 -1}
{0 0.176467,1 2,2 -1}
{0 0.086902,1 2,2 -1}
{0 0.195765,1 3,2 -1}
{0 0.082061,1 1,2 -1}
{0 0.214262,1 3,2 -1}
{0 0.100504,1 1,2 -1}
{0 0.113002,1 2,2 -1}
{0 0.052307,1 1,2 -1}
{0 0.139118,1 3,2 -1}
{0 0.158266,1 2,2 -1}
{0 0.077712,1 2,2 -1}
{0 0.131639,1 2,2 -1}
{2 -1}
{0 0.215387,1 2,2 -1}
{0 0.1655,1 3,2 -1}
{2 -1}
{0 0.220214,1 3,2 -1}
{0 0.22667,1 2,2 -1}
{0 0.324154,1 2,2 -1}
{0 0.317453,1 3,2 -1}
{0 0.217165,1 3,2 -1}
{0 0.201444,1 2,2 -1}
{0 0.198571,1 3,2 -1}
{0 0.160124,1 3,2 -1}
{0 0.295172,1 2,2 -1}
{0 0.114959,1 3,2 -1}
{0 0.170222,1 2,2 -1}
{0 0.191543,1 3,2 -1}
{2 -1}
{0 0.158694,1 3,2 -1}
{0 0.140444,1 2,2 -1}
{0 0.297539,1 3,2 -1}
{0 0.043581,1 1,2 -1}
{0 0.238088,1 3,2 -1}
{2 -1}
{0 0.267336,1 2,2 -1}
{0 0.123591,1 3,2 -1}
{0 0.203861,1 2,2 -1}
{0 0.186952,1 2,2 -1}
{0 0.158092,1 3,2 -1}
{0 0.167085,1 1,2 -1}
{0 0.238783,1 3,2 -1}
{0 0.035669,1 2,2 -1}
{0 0.253109,1 2,2 -1}
{0 0.111111,1 1,2 -1}
{0 0.154899,1 2,2 -1}
{0 0.166442,1 2,2 -1}
{0 0.059819,1 2,2 -1}
{0 0.202231,1 3,2 -1}
{0 0.244315,1 3,2 -1}
{0 0.352085,1 3,2 -1}
{0 0.054127,1 2,2 -1}
{0 0.184369,1 2,2 -1}
{0 0.13802,1 2,2 -1}
{0 0.272739,1 3,2 -1}
{0 0.039228,1 2,2 -1}
{0 0.283355,1 3,2 -1}
{0 0.181133,1 2,2 -1}
{0 0.164399,1 1,2 -1}
{0 0.290063,1 3,2 -1}
{0 0.053731,1 2,2 -1}
{0 0.154669,1 2,2 -1}
{0 0.177872,1 3,2 -1}
{0 0.161165,1 2,2 -1}
{0 0.046225,1 1,2 -1}
{0 0.104815,1 2,2 -1}
{0 0.169633,1 2,2 -1}
{0 0.305827,1 3,2 -1}
{0 0.13349,1 2,2 -1}
{0 0.059875,1 2,2 -1}
{0 0.141238,1 2,2 -1}
{0 0.267261,1 2,2 -1}
{2 -1}
{0 0.089087,1 1,2 -1}
{0 0.210999,1 2,2 -1}
{0 0.20723,1 2,2 -1}
{0 0.146823,1 2,2 -1}
{0 0.119756,1 7,2 -1}
{0 0.094895,1 7,2 -1}
{0 0.138234,1 7,2 -1}
{2 -1}
{0 0.151015,1 5}
{0 0.086902,1 6,2 -1}
{0 0.135047,1 7,2 -1}
{0 0.04103,1 2,2 -1}
{0 0.141551,1 7,2 -1}
{0 0.12563,1 4,2 -1}
{0 0.11771,1 5,2 -1}
{0 0.165637,1 6,2 -1}
{0 0.126664,1 8,2 -1}
{0 0.113047,1 6,2 -1}
{0 0.128759,1 7,2 -1}
{0 0.080542,1 7,2 -1}
{2 -1}
{0 0.071796,1 3,2 -1}
{0 0.135501,1 7,2 -1}
{2 -1}
{0 0.133751,1 10,2 -1}
{0 0.113335,1 5,2 -1}
{0 0.158263,1 8,2 -1}
{0 0.151695,1 8,2 -1}
{0 0.132964,1 7,2 -1}
{0 0.13719,1 6,2 -1}
{0 0.15794,1 8,2 -1}
{0 0.123857,1 7,2 -1}
{0 0.122286,1 6,2 -1}
{0 0.149533,1 11,2 -1}
{0 0.169087,1 7,2 -1}
{0 0.137903,1 7,2 -1}
{0 0.125,1 3,2 -1}
{0 0.135043,1 7,2 -1}
{0 0.133962,1 8,2 -1}
{0 0.142635,1 6,2 -1}
{0 0.119849,1 5,2 -1}
{0 0.112394,1 6,2 -1}
{0 0.044544,1 1,2 -1}
{0 0.116959,1 4,2 -1}
{0 0.114763,1 7,2 -1}
{0 0.097297,1 6,2 -1}
{0 0.159688,1 7,2 -1}
{0 0.131527,1 8,2 -1}
{0 0.158731,1 4,2 -1}
{0 0.13776,1 5,2 -1}
{0 0.053503,1 4,2 -1}
{0 0.134464,1 6,2 -1}
{0 0.083333,1 2,2 -1}
{0 0.148567,1 8,2 -1}
{0 0.114564,1 7,2 -1}
{0 0.102382,1 7,2 -1}
{0 0.149207,1 7,2 -1}
{0 0.140351,1 6,2 -1}
{0 0.118119,1 6,2 -1}
{0 0.151748,1 7,2 -1}
{0 0.121605,1 7,2 -1}
{0 0.13333,1 7,2 -1}
{0 0.157025,1 7,2 -1}
{0 0.095268,1 6,2 -1}
{0 0.138201,1 7,2 -1}
{0 0.111647,1 6,2 -1}
{0 0.095899,1 2,2 -1}
{0 0.126508,1 7,2 -1}
{0 0.090895,1 7,2 -1}
{0 0.119517,1 5,2 -1}
{0 0.151842,1 7,2 -1}
{0 0.114158,1 5,2 -1}
{0 0.046225,1 1,2 -1}
{0 0.121213,1 7,2 -1}
{0 0.120557,1 6,2 -1}
{0 0.104625,1 6,2 -1}
{0 0.13349,1 7,2 -1}
{0 0.140477,1 6,2 -1}
{0 0.1483,1 7,2 -1}
{0 0.089087,1 2,2 -1}
{0 0.069673,1 2,2 -1}
{0 0.022272,1 1,2 -1}
{0 0.139313,1 6,2 -1}
{0 0.155423,1 7,2 -1}
{0 0.057098,1 5,2 -1}
{0 0.072206,1 5,2 -1}
{0 0.062344,1 7,2 -1}
{0 0.080793,1 5,2 -1}
{0 0.210042,1 3,2 -1}
{0 0.052747,1 4,2 -1}
{0 0.064423,1 3}
{0 0.111703,1 5,2 -1}
{0 0.13789,1 1,2 -1}
{0 0.078441,1 6,2 -1}
{2 -1}
{0 0.033625,1 6,2 -1}
{0 0.014649,1 3,2 -1}
{0 0.054103,1 5,2 -1}
{0 0.155765,1 4,2 -1}
{0 0.081294,1 6,2 -1}
{0 0.051176,1 5,2 -1}
{2 -1}
{0 0.090481,1 3,2 -1}
{0 0.07476,1 6,2 -1}
{0 0.102262,1 1,2 -1}
{0 0.089506,1 6,2 -1}
{0 0.0621,1 5,2 -1}
{0 0.076897,1 5,2 -1}
{0 0.081196,1 6,2 -1}
{0 0.055475,1 5,2 -1}
{0 0.17873,1 5,2 -1}
{0 0.10549,1 5,2 -1}
{0 0.095437,1 5,2 -1}
{0 0.079122,1 4,2 -1}
{0 0.027354,1 7,2 -1}
{0 0.077228,1 5,2 -1}
{0 0.075284,1 7,2 -1}
{2 -1}
